epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6050628423690796,0.9929667711257935,1e-04,0.7523105144500732,0.6235569715499878
1,0.8330065608024597,0.4438447654247284,1e-04,0.9343807697296143,0.19146724045276642
2,0.9067004919052124,0.2741532623767853,1e-04,0.9607208967208862,0.12316245585680008
3,0.9389920234680176,0.19366326928138733,1e-04,0.9741219878196716,0.08002503216266632
4,0.9539268612861633,0.14915919303894043,1e-04,0.9810535907745361,0.06176678091287613

